size,time
979110,3948
979100,3504
979090,3576
979080,2952
979070,2604
979060,3432
979050,3552
979040,3624
979030,2904
979020,3504
979010,3636
979000,3840
978990,3756
978980,3780
978970,3528
978960,3408
978950,2988
978940,3504
978930,3132
978920,3180
978910,3660
978900,4032
978890,3864
978880,2820
978870,3180
978860,3336
978850,3552
978840,3396
978830,3504
978820,3263
978810,3420
978800,3708
978790,3420
978780,3240
978770,3348
978760,3948
978750,3264
978740,3384
978730,3588
978720,3336
978710,3432
978700,3720
978690,3636
978680,3768
978670,3648
978660,3408
978650,3648
978640,3108
978630,3588
978620,3240
978610,4260
978600,3804
978590,3708
978580,3432
978570,3288
978560,2760
978550,3216
978540,3036
978530,3708
978520,2976
978510,3672
978500,3732
978490,4104
978480,3492
978470,3876
978460,3120
978450,3588
978440,3924
978430,3384
978420,3288
978410,2904
978400,3108
978390,3972
978380,3660
978370,3348
978360,4260
978350,3432
978340,3204
978330,3336
978320,3396
978310,2772
978300,3360
978290,3300
978280,3348
978270,3132
978260,4092
978250,3480
978240,3408
978230,3360
978220,3264
978210,3228
978200,3492
978190,3288
978180,2832
978170,3528
978160,3636
978150,3276
978140,3504
978130,3036
978120,3576
978110,3948
978100,3588
978090,3324
978080,3504
978070,3024
978060,3900
978050,3576
978040,3516
978030,3792
978020,3192
978010,3516
978000,3120
977990,2748
977980,3252
977970,3492
977960,3384
977950,3780
977940,3780
977930,3396
977920,3636
977910,4128
977900,4020
977890,3600
977880,3480
977870,3576
977860,3540
977850,3396
977840,3816
977830,3276
977820,3216
977810,3552
977800,3432
977790,3228
977780,3875
977770,3732
977760,3168
977750,2892
977740,4008
977730,3408
977720,3900
977710,4260
977700,4788
977690,4248
977680,3816
977670,4128
977660,4392
977650,3528
977640,3792
977630,3804
977620,3804
977610,3804
977600,3708
977590,3372
977580,3948
977570,3732
977560,3804
977550,3708
977540,3552
977530,2988
977520,3612
977510,3600
977500,3576
977490,3936
977480,3456
977470,2496
977460,3588
977450,3756
977440,3084
977430,3348
977420,4740
977410,3948
977400,3588
977390,3924
977380,3408
977370,3720
977360,3876
977350,3492
977340,2892
977330,3432
977320,3480
977310,3804
977300,2964
977290,3612
977280,3144
977270,3456
977260,3048
977250,3720
977240,3347
977230,3660
977220,3612
977210,2772
977200,2820
977190,3216
977180,3264
977170,3168
977160,3516
977150,3312
977140,4152
977130,3732
977120,3216
977110,3228
977100,2820
977090,4236
977080,3168
977070,3492
977060,3540
977050,2952
977040,3264
977030,2940
977020,2712
977010,3192
977000,3456
976990,3096
976980,3336
976970,3384
976960,3468
976950,3156
976940,3444
976930,3324
976920,3888
976910,3984
976900,2856
976890,3372
976880,3492
976870,3600
976860,3420
976850,3156
976840,3336
976830,3300
976820,3588
976810,3984
976800,3648
976790,3360
976780,3636
976770,3816
976760,3648
976750,3852
976740,3780
976730,2868
976720,4044
976710,3468
976700,3060
